"r_w [mm]","Freq [GHz]","dB(S(Port1,Port1)) []"
1.077,0.5,-39.7995167800265
1.077,0.505,-39.7140053234292
1.077,0.51,-39.629354785186
1.077,0.515,-39.5455485704782
1.077,0.52,-39.462570566055
1.077,0.525,-39.3804051218138
1.077,0.53,-39.2990370332537
1.077,0.535,-39.2184515247516
1.077,0.54,-39.1386342336175
1.077,0.545,-39.0595711948835
1.077,0.55,-38.9812488267874
1.077,0.555,-38.9036539169136
1.077,0.56,-38.826773608955
1.077,0.565,-38.750595390063
1.077,0.57,-38.6751070787556
1.077,0.575,-38.6002968133527
1.077,0.58,-38.5261530409122
1.077,0.585,-38.4526645066414
1.077,0.59,-38.3798202437581
1.077,0.595,-38.3076095637807
1.077,0.6,-38.2360220472234
1.077,0.605,-38.1650475346783
1.077,0.61,-38.0946761182643
1.077,0.615,-38.0248981334247
1.077,0.62,-37.9557041510577
1.077,0.625,-37.8870849699623
1.077,0.63,-37.8190316095852
1.077,0.635,-37.7515353030552
1.077,0.64,-37.6845874904897
1.077,0.645,-37.6181798125628
1.077,0.65,-37.5523041043208
1.077,0.655,-37.4869523892355
1.077,0.66,-37.4221168734832
1.077,0.665,-37.35778994044
1.077,0.67,-37.2939641453829
1.077,0.675,-37.2306322103882
1.077,0.68,-37.1677870194185
1.077,0.685,-37.1054216135894
1.077,0.69,-37.0435291866081
1.077,0.695,-36.9821030803774
1.077,0.7,-36.9211367807573
1.077,0.705,-36.8606239134764
1.077,0.71,-36.8005582401899
1.077,0.715,-36.7409336546737
1.077,0.72,-36.681744179153
1.077,0.725,-36.6229839607572
1.077,0.73,-36.5646472680966
1.077,0.735,-36.5067284879565
1.077,0.74,-36.4492221221031
1.077,0.745,-36.3921227841972
1.077,0.75,-36.3354251968114
1.077,0.755,-36.2791241885456
1.077,0.76,-36.2232146912392
1.077,0.765,-36.1676917372736
1.077,0.77,-36.1125504569629
1.077,0.775,-36.0577860760302
1.077,0.78,-36.0033939131632
1.077,0.785,-35.9493693776499
1.077,0.79,-35.8957079670881
1.077,0.795,-35.8424052651682
1.077,0.8,-35.7894569395246
1.077,0.805,-35.7368587396555
1.077,0.81,-35.6846064949058
1.077,0.815,-35.6326961125129
1.077,0.82,-35.5811235757125
1.077,0.825,-35.5298849419014
1.077,0.83,-35.4789763408568
1.077,0.835,-35.4283939730081
1.077,0.84,-35.3781341077618
1.077,0.845,-35.3281930818746
1.077,0.85,-35.2785672978757
1.077,0.855,-35.2292532225354
1.077,0.86,-35.1802473853777
1.077,0.865,-35.1315463772373
1.077,0.87,-35.0831468488568
1.077,0.875,-35.0350455095259
1.077,0.88,-34.9872391257577
1.077,0.885,-34.9397245200041
1.077,0.89,-34.892498569407
1.077,0.895,-34.8455582045838
1.077,0.9,-34.7989004084481
1.077,0.905,-34.7525222150623
1.077,0.91,-34.7064207085225
1.077,0.915,-34.6605930218733
1.077,0.92,-34.615036336053
1.077,0.925,-34.5697478788676
1.077,0.93,-34.5247249239912
1.077,0.935,-34.4799647899955
1.077,0.94,-34.435464839403
1.077,0.945,-34.3912224777675
1.077,0.95,-34.3472351527771
1.077,0.955,-34.3035003533823
1.077,0.96,-34.2600156089464
1.077,0.965,-34.2167784884176
1.077,0.97,-34.1737865995238
1.077,0.975,-34.1310375879869
1.077,0.98,-34.0885291367582
