"Freq [GHz]","dB(St(Feedline_T1,Feedline_T1)) []"
2,-0.0563452416584711
2.005,-0.0565680276656314
2.01,-0.0567906520635792
2.015,-0.057013125359177
2.02,-0.0572354580641613
2.025,-0.0574576606968684
2.03,-0.0576797437840021
2.035,-0.0579017178624915
2.04,-0.0581235934813808
2.045,-0.0583453812038546
2.05,-0.0585670916092745
2.055,-0.058788735295355
2.06,-0.0590103228803929
2.065,-0.0592318650056091
2.07,-0.0594533723375916
2.075,-0.0596748555708174
2.08,-0.0598963254303273
2.085,-0.0601177926744826
2.09,-0.0603392680978609
2.095,-0.0605607625342867
2.1,-0.0607822868599922
2.105,-0.0610038519969272
2.11,-0.0612254689162367
2.115,-0.061447148641873
2.12,-0.0616689022544199
2.125,-0.061890740895065
2.13,-0.0621126757697897
2.135,-0.0623347181537575
2.14,-0.0625568793959069
2.145,-0.0627791709237981
2.15,-0.06300160424868
2.155,-0.0632241909708253
2.16,-0.0634469427851366
2.165,-0.0636698714870439
2.17,-0.0638929889786901
2.175,-0.0641163072754583
2.18,-0.0643398385128471
2.185,-0.0645635949536787
2.19,-0.0647875889957109
2.195,-0.065011833179663
2.2,-0.0652363401976646
2.205,-0.0654611229021598
2.21,-0.0656861943153076
2.215,-0.0659115676388873
2.22,-0.0661372562647632
2.225,-0.0663632737859314
2.23,-0.0665896340081863
2.235,-0.0668163509624341
2.24,-0.0670434389177264
2.245,-0.0672709123950166
2.25,-0.0674987861817481
2.255,-0.0677270753472356
2.26,-0.0679557952589964
2.265,-0.0681849616000008
2.27,-0.068414590386987
2.275,-0.0686446979898215
2.28,-0.068875301152075
2.285,-0.0691064170127962
2.29,-0.0693380631296495
2.295,-0.0695702575034565
2.3,-0.0698030186042514
2.305,-0.0700363653989982
2.31,-0.070270317380991
2.315,-0.0705048946011702
2.32,-0.070740117701414
2.325,-0.0709760079499654
2.33,-0.0712125872791884
2.335,-0.0714498783257503
2.34,-0.0716879044734974
2.345,-0.0719266898991414
2.35,-0.0721662596210453
2.355,-0.0724066395512881
2.36,-0.0726478565512926
2.365,-0.0728899384912685
2.37,-0.0731329143138012
2.375,-0.0733768141018836
2.38,-0.0736216691517794
2.385,-0.0738675120510508
2.39,-0.0741143767622538
2.395,-0.0743622987126901
2.4,-0.0746113148907661
2.405,-0.0748614639495015
2.41,-0.0751127863177823
2.415,-0.0753653243200394
2.42,-0.0756191223050892
2.425,-0.0758742267849005
2.43,-0.0761306865842106
2.435,-0.0763885530019565
2.44,-0.0766478799855468
2.445,-0.0769087243192104
2.45,-0.0771711458276856
2.455,-0.0774352075967093
2.46,-0.07770097621187
2.465,-0.0779685220176265
2.47,-0.0782379193984086
2.475,-0.0785092470840069
2.48,-0.078782588481612
2.485,-0.079058032037276
2.49,-0.079335671629684
2.495,-0.0796156069996565
2.5,-0.0798979442190978
2.505,-0.0801827962035464
2.51,-0.0804702832730237
2.515,-0.0807605337664426
