Freq_GHz,dB_S11
2.4,-0.07970207960827796
2.41,-0.07998394752615409
2.42,-0.08027017575419951
2.43,-0.0805614567814105
2.44,-0.08085853261896048
2.45,-0.08116220202166957
2.46,-0.0814733288541706
2.47,-0.08179285181567575
2.48,-0.08212179578343387
2.49,-0.08246128509212469
2.5,-0.08281255913808204
2.51,-0.08317699078730462
2.52,-0.08355610818011212
2.53,-0.08395162066993091
2.54,-0.08436544981883523
2.55,-0.08479976661056143
2.56,-0.08525703635016815
2.57,-0.08574007312164608
2.58,-0.08625210620328527
2.59,-0.08679686153987391
2.6,-0.08737866230439933
2.61,-0.08800255383827275
2.62,-0.08867445996611004
2.63,-0.08940138002252324
2.64,-0.09019163917369408
2.65,-0.09105520916485742
2.66,-0.09200412307517883
2.67,-0.0930530169266082
2.68,-0.09421984448500823
2.69,-0.09552683153044543
2.7,-0.09700176581564086
2.71,-0.09867976468348971
2.72,-0.1006057335625467
2.73,-0.10283784183544586
2.74,-0.10545252682562126
2.75,-0.10855184398566645
2.76,-0.1122745085698973
2.77,-0.11681290713369588
2.78,-0.12244006768844477
2.79,-0.12955384057459735
2.8,-0.13875205820963082
2.81,-0.15096615766237167
2.82,-0.16771145666027076
2.83,-0.19158623656734824
2.84,-0.22734638590827735
2.85,-0.2844532399577165
2.86,-0.3839144103378036
2.87,-0.579988096547674
2.88,-1.0472837116548053
2.89,-2.576236855819434
2.9,-11.854734876241338
2.91,-5.703717114339025
2.92,-1.7088925184901236
2.93,-0.806359510797255
2.94,-0.4864663037340853
2.95,-0.3402901784255068
2.96,-0.2621413344677821
2.97,-0.21574049468550097
2.98,-0.1860623650839399
2.99,-0.16600480891588523
3.0,-0.15186581328998502
3.01,-0.1415648738142365
3.02,-0.13386087277354713
3.03,-0.1279766586349775
3.04,-0.12340566814654126
3.05,-0.1198063620818511
3.06,-0.11694172530648127
3.07,-0.11464312956638129
3.08,-0.11278796608323359
3.09,-0.11128536556535712
3.1,-0.11006683011301818
3.11,-0.1090799377288617
3.12,-0.10828401988711363
3.13,-0.10764713609678898
3.14,-0.10714391917636659
3.15,-0.10675401628868042
3.16,-0.10646094471311816
3.17,-0.10625124092508953
3.18,-0.10611382012435472
3.19,-0.10603948878075434
3.2,-0.10602056981127608
3.21,-0.10605061160787439
3.22,-0.10612416015094561
3.23,-0.10623657905350332
3.24,-0.10638390635673994
3.25,-0.1065627397473177
3.26,-0.10677014393191844
3.27,-0.10700357541602659
3.28,-0.10726082105099442
3.29,-0.10753994754603463
3.3,-0.10783925976821304
3.31,-0.10815726612773051
3.32,-0.10849264970837355
3.33,-0.10884424408153073
3.34,-0.10921101295795932
3.35,-0.10959203299961799
3.36,-0.1099864792455811
3.37,-0.11039361271007678
3.38,-0.11081276979307098
3.39,-0.11124335320939294
3.4,-0.11168482419517162
