Freq_GHz,dB_S11
2.7,-0.10879590742520817
2.705,-0.11050532643041527
2.71,-0.11236856709281637
2.715,-0.11440575715266726
2.72,-0.11664042660656639
2.725,-0.11910022109867836
2.73,-0.12181779580069874
2.735,-0.12483194382003573
2.74,-0.12818903204721588
2.745,-0.13194484382634425
2.75,-0.13616696540790013
2.755,-0.14093790715372123
2.76,-0.1463592291555438
2.765,-0.15255705726134502
2.77,-0.1596895502080608
2.775,-0.16795714542722856
2.78,-0.1776168263447789
2.785,-0.18900231328727207
2.79,-0.20255315014739467
2.795,-0.2188574381257977
2.8,-0.23871600591409003
2.805,-0.26324114849218255
2.81,-0.29401277564090705
2.815,-0.3333331118351304
2.82,-0.3846570305745814
2.825,-0.4533490395805355
2.83,-0.5480782082417026
2.835,-0.6835311074574697
2.84,-0.8860308265522265
2.845,-1.2060643498738897
2.85,-1.748724100449295
2.855,-2.755589415683156
2.86,-4.8564955085875505
2.865,-10.1091454923025
2.87,-20.96101887919488
2.875,-7.997395931606181
2.88,-4.075799303297912
2.885,-2.400552124977046
2.89,-1.5666054117685264
2.895,-1.1040025687989439
2.9,-0.8249906499651141
2.905,-0.6453174290097357
2.91,-0.5234557398614538
2.915,-0.43728778068753893
2.92,-0.37425235571666376
2.925,-0.32682378641565474
2.93,-0.29028607523063854
2.935,-0.26156912163142154
2.94,-0.23860799561042326
2.945,-0.21997410838399617
2.95,-0.20465451617061364
2.955,-0.19191531114199997
2.96,-0.18121449950702345
2.965,-0.1721449497621757
2.97,-0.16439613998790653
2.975,-0.157727960940517
2.98,-0.1519524296985236
2.985,-0.1469207025552221
2.99,-0.14251370526095142
2.995,-0.1386352752435076
3.0,-0.1352070758111501
3.005,-0.13216477849274666
3.01,-0.12945516507568658
3.015,-0.12703390488691493
3.02,-0.12486383351769328
3.025,-0.12291360789046338
3.03,-0.12115664657778946
3.035,-0.11957028833279164
3.04,-0.11813511899293108
3.045,-0.11683442935757445
3.05,-0.11565377572490175
3.055,-0.11458062147328468
3.06,-0.11360404305699205
3.065,-0.112714487526236
3.07,-0.11190357151077628
3.075,-0.111163913762147
3.08,-0.11048899500465986
3.085,-0.10987304012408575
3.09,-0.10931091871792042
3.095,-0.10879806080939328
3.1,-0.1083303851404929
