corte,posicao_mm,Mag_H_A_per_m
x,0.0,35.37565546203357
x,0.004,35.57204014830323
x,0.008,35.76501304368745
x,0.012,35.954563454042
x,0.016,36.140680909865196
x,0.02,36.32335516629821
x,0.024,36.5025762031248
x,0.028,36.67833422477121
x,0.032,36.850619660306755
x,0.036,37.01942316344296
x,0.04,37.184735612534396
x,0.044,37.34654811057804
x,0.048,37.50485198521384
x,0.052000000000000005,37.65963878872396
x,0.056,37.810900298033694
x,0.05999999999999999,37.958628514710874
x,0.064,38.10281566496572
x,0.068,38.24345419965147
x,0.072,38.38053679426388
x,0.076,38.514056348941374
x,0.08,38.644005988465224
x,0.084,38.770379062258996
x,0.088,38.89316914438923
x,0.092,39.012370033565226
x,0.096,39.12797575313858
x,0.1,39.23998055110375
x,0.10400000000000001,39.348378900097956
x,0.108,39.45316549740112
x,0.112,39.554335264935524
x,0.11599999999999999,39.65188334926636
x,0.11999999999999998,39.74580512160155
x,0.124,39.83609617779154
x,0.128,39.92275233832939
x,0.132,40.005769648351055
x,0.136,40.08514437763501
x,0.14,40.160873020602295
x,0.144,40.23295229631696
x,0.148,40.30137914848536
x,0.152,40.3661507454568
x,0.156,40.42726448022294
x,0.16,40.48471797041849
x,0.164,40.538509058320564
x,0.168,40.58863581084897
x,0.17200000000000001,40.63509651956628
x,0.176,40.677889700677845
x,0.18,40.717014095031224
x,0.184,40.75246866811721
x,0.18799999999999997,40.78425261006884
x,0.192,40.81236533566215
x,0.196,40.83680648431559
x,0.2,40.857575920090376
x,0.20400000000000001,40.87467373169047
x,0.20800000000000002,40.88810023246237
x,0.212,40.89785596039533
x,0.216,40.903941678121214
x,0.22,40.906358372914625
x,0.224,40.905107256692766
x,0.228,40.900189766015615
x,0.23199999999999998,40.89160756208562
x,0.23600000000000002,40.879362530748196
x,0.23999999999999996,40.86345678249114
x,0.244,40.8438926524451
x,0.248,40.82067270038327
x,0.252,40.793799710721665
x,0.256,40.76327669251886
x,0.26,40.729106879476085
x,0.264,40.69129372993724
x,0.268,40.64984092688903
x,0.272,40.604752377960686
x,0.276,40.556032215424196
x,0.28,40.50368479619402
x,0.28400000000000003,40.44771470182771
x,0.288,40.38812673852497
x,0.292,40.32492593712861
x,0.296,40.25811755312383
x,0.3,40.1877070666386
x,0.304,40.11370018244361
x,0.308,40.036102829952156
x,0.312,39.95492116322015
x,0.316,39.870161560946286
x,0.32,39.78183062647191
x,0.324,39.689935187780954
x,0.328,39.59448229750011
x,0.33199999999999996,39.49547923289865
x,0.336,39.39293349588867
x,0.34,39.286852813024794
x,0.34400000000000003,39.17724513550432
x,0.34800000000000003,39.06411863916725
x,0.352,38.94748172449633
x,0.356,38.82734301661686
x,0.36,38.70371136529691
x,0.364,38.57659584494703
x,0.368,38.446005754620735
x,0.372,38.311950618013945
x,0.37599999999999995,38.17444018346539
x,0.38,38.03348442395647
x,0.384,37.889093537111194
x,0.388,37.74127794519627
x,0.392,37.590048295121086
x,0.396,37.43541545843758
x,0.4,37.27739053134065
x,0.404,37.1159848346676
x,0.40800000000000003,36.95120991389841
x,0.41200000000000003,36.783077539155954
x,0.41600000000000004,36.61295989923309
x,0.41999999999999993,36.44989037762274
x,0.424,36.284055841105214
x,0.428,36.11546938965443
x,0.432,35.944144385422604
x,0.43599999999999994,35.77009445274038
x,0.44,35.593333478117195
x,0.444,35.41387561024079
x,0.448,35.23173525997746
x,0.452,35.046927100371846
x,0.456,34.85946606664762
x,0.46,34.7886247348952
x,0.46399999999999997,34.73632138924893
x,0.468,34.684019847602656
x,0.47200000000000003,34.63172525247914
x,0.47600000000000003,34.57944295798039
x,0.4799999999999999,34.527178529787676
x,0.484,34.47493774516131
x,0.488,34.422726592941025
x,0.49200000000000005,34.3705512735455
x,0.496,34.318418198972964
x,0.5,34.26633399280032
x,0.504,43.50277677608521
x,0.508,42.96190788904322
x,0.512,42.44839099392914
x,0.5159999999999999,41.96149687699351
x,0.52,41.50050515916311
x,0.524,41.06470429604133
x,0.528,40.653391577907925
x,0.532,40.265873129718884
x,0.536,39.9014639111069
x,0.54,39.55948771638088
x,0.544,39.23927717452616
x,0.548,38.94017374920452
x,0.552,38.66152773875425
x,0.556,38.4026982761898
x,0.56,38.28254235208362
x,0.5640000000000001,38.25348347813302
x,0.5680000000000001,38.22831949012249
x,0.5720000000000001,38.20694270099667
x,0.576,38.1892504158193
x,0.58,38.175144931773396
x,0.584,38.16453353816129
x,0.588,38.15732851640451
