corte,expressao,posicao_mm,valor
x,Mag_H,0.0,35.37565546203357
x,Mag_H,0.004,35.57204014830323
x,Mag_H,0.008,35.76501304368745
x,Mag_H,0.012,35.954563454042
x,Mag_H,0.016,36.140680909865196
x,Mag_H,0.02,36.32335516629821
x,Mag_H,0.024,36.5025762031248
x,Mag_H,0.028,36.67833422477121
x,Mag_H,0.032,36.850619660306755
x,Mag_H,0.036,37.01942316344296
x,Mag_H,0.04,37.184735612534396
x,Mag_H,0.044,37.34654811057804
x,Mag_H,0.048,37.50485198521384
x,Mag_H,0.052000000000000005,37.65963878872396
x,Mag_H,0.056,37.810900298033694
x,Mag_H,0.05999999999999999,37.958628514710874
x,Mag_H,0.064,38.10281566496572
x,Mag_H,0.068,38.24345419965147
x,Mag_H,0.072,38.38053679426388
x,Mag_H,0.076,38.514056348941374
x,Mag_H,0.08,38.644005988465224
x,Mag_H,0.084,38.770379062258996
x,Mag_H,0.088,38.89316914438923
x,Mag_H,0.092,39.012370033565226
x,Mag_H,0.096,39.12797575313858
x,Mag_H,0.1,39.23998055110375
x,Mag_H,0.10400000000000001,39.348378900097956
x,Mag_H,0.108,39.45316549740112
x,Mag_H,0.112,39.554335264935524
x,Mag_H,0.11599999999999999,39.65188334926636
x,Mag_H,0.11999999999999998,39.74580512160155
x,Mag_H,0.124,39.83609617779154
x,Mag_H,0.128,39.92275233832939
x,Mag_H,0.132,40.005769648351055
x,Mag_H,0.136,40.08514437763501
x,Mag_H,0.14,40.160873020602295
x,Mag_H,0.144,40.23295229631696
x,Mag_H,0.148,40.30137914848536
x,Mag_H,0.152,40.3661507454568
x,Mag_H,0.156,40.42726448022294
x,Mag_H,0.16,40.48471797041849
x,Mag_H,0.164,40.538509058320564
x,Mag_H,0.168,40.58863581084897
x,Mag_H,0.17200000000000001,40.63509651956628
x,Mag_H,0.176,40.677889700677845
x,Mag_H,0.18,40.717014095031224
x,Mag_H,0.184,40.75246866811721
x,Mag_H,0.18799999999999997,40.78425261006884
x,Mag_H,0.192,40.81236533566215
x,Mag_H,0.196,40.83680648431559
x,Mag_H,0.2,40.857575920090376
x,Mag_H,0.20400000000000001,40.87467373169047
x,Mag_H,0.20800000000000002,40.88810023246237
x,Mag_H,0.212,40.89785596039533
x,Mag_H,0.216,40.903941678121214
x,Mag_H,0.22,40.906358372914625
x,Mag_H,0.224,40.905107256692766
x,Mag_H,0.228,40.900189766015615
x,Mag_H,0.23199999999999998,40.89160756208562
x,Mag_H,0.23600000000000002,40.879362530748196
x,Mag_H,0.23999999999999996,40.86345678249114
x,Mag_H,0.244,40.8438926524451
x,Mag_H,0.248,40.82067270038327
x,Mag_H,0.252,40.793799710721665
x,Mag_H,0.256,40.76327669251886
x,Mag_H,0.26,40.729106879476085
x,Mag_H,0.264,40.69129372993724
x,Mag_H,0.268,40.64984092688903
x,Mag_H,0.272,40.604752377960686
x,Mag_H,0.276,40.556032215424196
x,Mag_H,0.28,40.50368479619402
x,Mag_H,0.28400000000000003,40.44771470182771
x,Mag_H,0.288,40.38812673852497
x,Mag_H,0.292,40.32492593712861
x,Mag_H,0.296,40.25811755312383
x,Mag_H,0.3,40.1877070666386
x,Mag_H,0.304,40.11370018244361
x,Mag_H,0.308,40.036102829952156
x,Mag_H,0.312,39.95492116322015
x,Mag_H,0.316,39.870161560946286
x,Mag_H,0.32,39.78183062647191
x,Mag_H,0.324,39.689935187780954
x,Mag_H,0.328,39.59448229750011
x,Mag_H,0.33199999999999996,39.49547923289865
x,Mag_H,0.336,39.39293349588867
x,Mag_H,0.34,39.286852813024794
x,Mag_H,0.34400000000000003,39.17724513550432
